,0,1,2
445,Columbia River Gorge National Scenic Area,36.9464417,-90.28379720000001
446,Rogue River-Siskiyou National Forest,36.9273722,-90.2830556
447,Olympic National Forest,36.9260944,-91.2230556
448,Okanogan-Wenatchee National Forest,43.4608333,-88.7033333
449,Willamette National Forest,39.5755556,-89.2582222
450,Siuslaw National Forest,38.6635444,-89.26638890000001
451,Colville National Forest,38.658055600000004,-89.23222220000001
452,Mt. Baker-Snoqualmie National Forest,38.6961111,-89.3708333
453,Deschutes National Forest,38.6363889,-89.325
454,Gifford Pinchot National Forest,47.09745,-98.0100806
455,Mt. Hood National Forest,33.8469444,-89.77444440000001
456,Wallowa Whitman National Forest,41.6958333,-93.6825
457,Malheur National Forest,41.731944399999996,-93.6802778
458,Wenatchee River RD - FS,41.7297222,-93.72111109999999
459,Lookout Mountain RD - FS,41.7536111,-93.7097222
460,Fremont-Winema National Forest,41.7388889,-93.68472220000001
461,Umatilla National Forest,41.6905556,-93.6747222
462,National Forests in North Carolina,41.3663889,-92.98965559999999
463,George Washington & Jefferson National Forest,41.4167806,-93.02995
464,Cherokee National Forest,41.3786556,-93.02945559999999
465,National Forests in Alabama,41.722725,-91.5323528
466,National Forests in Mississippi,41.724430600000005,-91.5266417
467,Daniel Boone National Forest,41.765738899999995,-91.5564917
468,Ouachita National Forest,41.7237667,-91.52315279999999
469,National Forests and Grasslands in Texas,41.722744399999996,-91.5323028
470,National Forests in Florida,41.724483299999996,-91.543225
471,Ozark-St. Francis National Forests,41.722905600000004,-91.53473890000001
472,Kisatchie National Forest,41.5133333,-73.0666667
473,Francis Marion and Sumter National Forests,41.945,-71.9
474,Recreation - Chattahoochee-Oconee National Forest,42.341944399999996,-72.8494444
475,Lake George RD - FS,41.8869444,-77.1791667
476,Chequamegon-Nicolet NF,39.416766700000004,-79.1161111
477,Green Mountain & Finger Lakes National Forests,40.383055600000006,-78.0783333
478,Ottawa National Forest,40.3875,-78.05
479,Huron-Manistee National Forests,41.9808333,-77.1894444
480,Chippewa National Forest,43.1633333,-72.80972220000001
481,Superior National Forest,43.1886111,-71.7277778
482,Hiawatha National Forest,41.6875,-73.0916667
483,Allegheny National Forest,42.900275,-71.9923806
484,Monongahela National Forest,42.118333299999996,-71.90777779999999
485,Hoosier National Forest,41.976111100000004,-77.1694444
486,Wayne National Forest,41.974444399999996,-77.2088889
487,White Mountain National Forest,41.8272222,-77.08888890000001
488,Mark Twain National Forest,42.0727778,-72.06277779999999
489,Finger Lakes National Forest,39.4169444,-79.1272222
490,El Yunque National Forest,43.0532778,-72.7020833
491,,43.599591700000005,-72.3637528
492,,43.7903,-72.2559222
493,,40.389975,-76.0321167
494,,42.644119399999994,-72.21638890000001
495,,40.345075,-78.1422306
496,,40.3761056,-78.16261109999999
497,,40.3106083,-78.1710417
498,,40.429236100000004,-77.9906778
499,,40.224000000000004,-78.0435
500,,40.24275,-78.23141109999999
501,,46.080555600000004,-118.255
502,,43.6102778,-115.93805559999998
503,,38.4908528,-95.7595167
504,,38.199722200000004,-93.51
505,,38.2619444,-93.3977778
506,,40.8786111,-93.0266667
507,,40.862777799999996,-92.8677778
508,,38.26,-93.6055556
509,,38.675,-95.6791667
510,,37.5755556,-93.6813889
511,,46.2555556,-118.8447222
512,,38.497602799999996,-95.7179111
513,,42.858611100000005,-97.4825
514,,37.6697222,-93.7530556
515,,39.0927778,-96.955
516,,37.9047222,-93.3077778
517,,46.623611100000005,-116.21833329999998
518,,48.008888899999995,-106.42888889999999
519,,47.4822222,-101.42611109999999
520,,37.6063889,-93.78111109999999
521,,46.213719399999995,-119.01299999999999
522,,40.0830556,-99.2277
